City,Market,Role,start,end,max_train_date
SG,CHINESE_CANTONESE,Content Reviewer,2022-07-01,2023-08-31,2023-06-30
SG,CHINESE_CANTONESE,QA,2022-07-01,2023-08-31,2023-06-30
SG,MONGOLIAN,Content Reviewer,2022-07-01,2023-08-31,2023-06-30
SG,MONGOLIAN,QA,2022-07-01,2023-08-31,2023-06-30
SG,RESTOFWORLD,Content Reviewer,2022-07-01,2023-08-31,2023-06-30
SG,RESTOFWORLD,QA,2022-07-01,2023-08-31,2023-06-30
TH,BURMESE,Content Reviewer,2022-07-01,2023-08-31,2023-06-30
TH,BURMESE,QA,2022-07-01,2023-08-31,2023-06-30
TH,CAMBODIAN,Content Reviewer,2022-07-01,2023-08-31,2023-06-30
TH,CAMBODIAN,QA,2022-07-01,2023-08-31,2023-06-30
TH,INDONESIAN,Content Reviewer,2022-07-01,2023-08-31,2023-06-30
TH,INDONESIAN,QA,2022-07-01,2023-08-31,2023-06-30
TH,LAOS,Content Reviewer,2022-07-01,2023-08-31,2023-06-30
TH,LAOS,QA,2022-07-01,2023-08-31,2023-06-30
TH,PDO,Content Reviewer,2022-07-01,2023-08-31,2023-06-30
TH,PDO,QA,2022-07-01,2023-08-31,2023-06-30
TH,THAI,Content Reviewer,2022-07-01,2023-08-31,2023-06-30
TH,THAI,QA,2022-07-01,2023-08-31,2023-06-30
TH,VIETNAMESE,Content Reviewer,2022-07-01,2023-08-31,2023-06-30
TH,VIETNAMESE,QA,2022-07-01,2023-08-31,2023-06-30
TH,[PDO to CO] Content Integrity,Content Reviewer,2022-07-01,2023-06-30,2023-04-30
TH,[PDO to CO] Content Integrity,QA,2022-07-01,2023-08-31,2023-06-30
TH,[PDO to CO] Matching (Single Skilled),Content Reviewer,2022-07-01,2023-06-30,2023-04-30
TH,[PDO to CO] Matching (Single Skilled),QA,2023-01-02,2022-12-31,2022-10-31
