City,Market,Role,Shift Date,Year,Month,Day,is_holiday,holiday_eve_1,holiday_eve_2,post_holiday_1,post_holiday_2,WeekOfDay_0,WeekOfDay_1,WeekOfDay_2,WeekOfDay_3,WeekOfDay_4,WeekOfDay_5,WeekOfDay_6,Off Hours,available Hours,break Hours,coaching Hours,fb_training Hours,meal Hours,non-fb-training Hours,onboarding Hours,team_meeting Hours,wellness_support Hours,ActiveCount,NHires,NFires,annual_leave_value,toil_leave_value,Required FTE,Prod Max Billable Hrs,Excess FTE
SG,CHINESE_CANTONESE,Content Reviewer,2022-01-01,2022,1,1,1,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0.0,81.39861111111111,6.9655555555555555,0.6100000000000001,0.0,12.471388888888889,0.0,0.0,0.0,6.614166666666667,16,0,0,0.0,0.0,17.0,2788.0,-1.0
SG,CHINESE_CANTONESE,Content Reviewer,2022-01-02,2022,1,2,0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,1,0.0,120.30611111111111,6.0575,0.4611111111111111,0.0,14.776666666666667,0.0,0.0,0.0,2.8897222222222223,21,5,0,0.0,0.0,17.0,2788.0,4.0
SG,CHINESE_CANTONESE,Content Reviewer,2022-01-03,2022,1,3,0,0.0,0.0,0.0,1.0,1,0,0,0,0,0,0,0.0,90.30027777777778,5.391388888888889,1.8711111111111112,0.0,12.18138888888889,0.0,0.0,1.6147222222222224,5.421944444444445,21,0,0,0.0,0.0,17.0,2788.0,4.0
SG,CHINESE_CANTONESE,Content Reviewer,2022-01-04,2022,1,4,0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0.0,135.84555555555556,8.135833333333334,3.758611111111111,4.614722222222222,17.995555555555555,0.0,0.0,3.5194444444444444,4.486111111111111,25,4,0,0.0,0.0,17.0,2788.0,8.0
SG,CHINESE_CANTONESE,Content Reviewer,2022-01-05,2022,1,5,0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0.0,126.97833333333334,8.245555555555555,2.6594444444444445,8.814444444444444,16.816388888888888,0.0,0.0,1.5169444444444444,1.4972222222222222,26,1,0,0.0,0.0,17.0,2788.0,9.0
SG,CHINESE_CANTONESE,Content Reviewer,2022-01-06,2022,1,6,0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0.0,150.66916666666665,8.539722222222222,5.003611111111111,1.5386111111111112,19.149166666666666,0.0,0.0,5.759722222222222,3.0855555555555556,26,0,0,0.0,0.0,17.0,2788.0,9.0
SG,CHINESE_CANTONESE,Content Reviewer,2022-01-07,2022,1,7,0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0.0,142.52944444444444,8.120000000000001,4.271388888888889,2.456388888888889,19.541666666666668,0.0,0.0,4.086666666666667,4.296111111111111,26,0,0,0.0,0.0,17.0,2788.0,9.0
SG,CHINESE_CANTONESE,Content Reviewer,2022-01-08,2022,1,8,0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0.0,151.17166666666665,9.276666666666667,1.3333333333333333,0.0,18.8025,0.0,0.0,0.0022222222222222222,0.0,26,0,0,0.0,0.0,17.0,2788.0,9.0
SG,CHINESE_CANTONESE,Content Reviewer,2022-01-09,2022,1,9,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0.0,144.65555555555557,8.353333333333333,2.4447222222222225,0.004722222222222222,17.89472222222222,0.0,0.0,1.3141666666666667,0.0,26,0,0,0.0,0.0,17.0,2788.0,9.0
SG,CHINESE_CANTONESE,Content Reviewer,2022-01-10,2022,1,10,0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0.0,114.2238888888889,7.168611111111111,4.578888888888889,0.0,14.940833333333334,0.0,0.0,4.086388888888889,2.8672222222222223,26,0,0,0.0,0.0,17.0,2788.0,9.0
